student_number,course,birthdate,nationality,civil_status,gender,municipality,payment_status,balance,has_scholarship,number_of_units_enrolled,academic_probation_status,last_term_GWA,will_graduate
24-8502,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2005-12-18,Filipino,Single,Male,Imus,With Balance,12422,False,24,,2.0,No
24-8941,Business Solutions & Applications (BSBA‑BSAA),2003-10-05,Filipino,Single,Female,Parañaque,Paid,0,False,15,,4.0,Yes
24-3328,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2004-04-08,Filipino,Single,Male,Parañaque,Paid,0,False,15,,3.5,Yes
24-5270,Human Resource Management (BSBA‑HRM),2003-04-24,Filipino,Single,Male,Caloocan,Paid,0,False,24,,2.0,No
24-5992,Human Resource Management (BSBA‑HRM),2005-01-09,Filipino,Single,Male,Parañaque,Paid,0,False,21,monitoring,4.0,No
24-8343,Human Resource Management (BSBA‑HRM),2002-07-14,Filipino,Single,Female,Valenzuela,Paid,0,False,24,,3.0,Yes
24-3621,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2000-07-03,Filipino,Single,Male,Pasig,Paid,0,False,21,,2.0,No
24-3472,Human Resource Management (BSBA‑HRM),2005-07-07,Filipino,Single,Female,Imus,Paid,0,False,24,,3.0,Yes
24-3525,Information Systems (BS‑IS),2004-11-25,Chinese,Single,Female,Makati,Paid,0,False,15,,3.0,Yes
24-2590,Business Intelligence & Analytics (BSBA‑BIA),2003-11-18,Filipino,Single,Female,Rodriguez,With Balance,33080,False,18,restrictions,4.0,No
24-2546,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2001-06-24,Filipino,Single,Male,Parañaque,With Balance,27807,False,24,,1.0,No
24-5881,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2001-09-11,Filipino,Single,Female,Las Piñas,With Balance,37432,False,15,monitoring,4.0,No
24-9232,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2007-04-27,Filipino,Single,Female,Bacoor,With Balance,23084,False,21,,4.0,Yes
24-8132,Cybersecurity (BSCSEC),2002-02-20,Filipino,Single,Male,Mandaluyong,Paid,0,True,18,restrictions,4.0,No
24-5658,Business Intelligence & Analytics (BSBA‑BIA),2003-02-10,Filipino,Single,Male,Makati,Paid,0,False,18,,3.5,Yes
24-9631,Business Intelligence & Analytics (BSBA‑BIA),2003-02-24,Filipino,Single,Female,Valenzuela,With Balance,34416,False,18,,4.0,Yes
24-6698,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2005-04-18,Filipino,Single,Male,Muntinlupa,Paid,0,False,18,,2.0,No
24-4849,Human Resource Management (BSBA‑HRM),1992-09-23,Filipino,Single,Male,Imus,With Balance,12046,False,15,,3.0,Yes
24-8081,Business Intelligence & Analytics (BSBA‑BIA),2006-04-28,Filipino,Single,Male,Antipolo,Paid,0,False,18,,3.5,Yes
24-2364,Human Resource Management (BSBA‑HRM),2006-03-13,Filipino,Single,Female,Taguig,Paid,0,True,15,,3.0,Yes
24-3569,Business Solutions & Applications (BSBA‑BSAA),2002-02-22,Filipino,Single,Male,Parañaque,Paid,0,False,15,,3.5,Yes
24-1324,Human Resource Management (BSBA‑HRM),2007-07-04,Filipino,Single,Female,Rodriguez,Paid,0,False,15,,2.0,No
24-5052,Cybersecurity (BSCSEC),2007-10-15,Chinese,Single,Male,Parañaque,Paid,0,False,18,,3.5,Yes
24-9150,Business Intelligence & Analytics (BSBA‑BIA),2002-12-13,Filipino,Single,Female,San Mateo,Paid,0,False,21,,4.0,Yes
24-6303,Human Resource Management (BSBA‑HRM),2002-06-11,Filipino,Single,Female,Bacoor,With Balance,34188,False,21,,3.0,Yes
24-1368,Human Resource Management (BSBA‑HRM),2002-10-14,Filipino,Married,Female,Makati,Paid,0,False,24,,3.0,Yes
24-8492,Business Solutions & Applications (BSBA‑BSAA),2004-09-12,Filipino,Single,Female,Pasay,With Balance,16341,False,21,monitoring,4.0,No
24-8509,Human Resource Management (BSBA‑HRM),2003-07-24,Filipino,Single,Male,Pasay,Paid,0,False,15,,3.5,Yes
24-3730,Information Systems (BS‑IS),2006-01-11,Korean,Single,Male,Mandaluyong,With Balance,11280,False,24,,3.0,Yes
24-2002,Business Intelligence & Analytics (BSBA‑BIA),2004-09-27,Filipino,Single,Male,Manila,Paid,0,False,18,,2.0,No
24-6404,Human Resource Management (BSBA‑HRM),2003-10-20,Filipino,Single,Male,San Mateo,With Balance,17751,False,15,monitoring,3.0,No
24-1208,Business Intelligence & Analytics (BSBA‑BIA),2005-12-13,Filipino,Single,Female,Bacoor,With Balance,21712,False,24,,3.0,Yes
24-4138,Cybersecurity (BSCSEC),2004-07-15,Filipino,Single,Female,Manila,Paid,0,False,18,,3.0,Yes
24-1572,Business Intelligence & Analytics (BSBA‑BIA),2003-07-12,Filipino,Single,Male,Marikina,Paid,0,False,21,restrictions,2.0,No
24-7445,Human Resource Management (BSBA‑HRM),2006-09-13,Filipino,Single,Female,Quezon City,With Balance,14130,False,15,,3.5,Yes
24-8146,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2006-03-06,Filipino,Single,Male,Muntinlupa,With Balance,31217,False,21,,4.0,Yes
24-9174,Business Solutions & Applications (BSBA‑BSAA),2004-09-10,Filipino,Single,Male,Cainta,Paid,0,False,18,,3.5,Yes
24-9013,Cybersecurity (BSCSEC),2004-06-24,Filipino,Single,Male,Manila,Paid,0,False,18,,2.0,No
24-2113,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2003-11-05,Filipino,Single,Male,Valenzuela,Paid,0,False,18,,3.0,Yes
24-6263,Human Resource Management (BSBA‑HRM),2004-03-22,Filipino,Single,Female,Taguig,With Balance,20737,False,24,,4.0,Yes
24-2090,Business Intelligence & Analytics (BSBA‑BIA),2000-06-10,Filipino,Single,Female,Las Piñas,Paid,0,False,21,,3.5,Yes
24-3312,Business Solutions & Applications (BSBA‑BSAA),2004-02-27,Filipino,Single,Female,Rodriguez,With Balance,28713,False,24,,3.5,Yes
24-4328,Business Intelligence & Analytics (BSBA‑BIA),2000-04-07,Filipino,Single,Male,Makati,Paid,0,False,18,,4.0,Yes
24-8773,Human Resource Management (BSBA‑HRM),2001-06-26,Filipino,Single,Male,Manila,Paid,0,False,18,,4.0,Yes
24-3974,Business Intelligence & Analytics (BSBA‑BIA),2006-06-27,Filipino,Single,Male,Malabon,With Balance,11638,False,15,,2.0,No
24-6836,Human Resource Management (BSBA‑HRM),2004-05-28,Filipino,Single,Female,Navotas,With Balance,29414,False,24,,4.0,Yes
24-6085,Business Solutions & Applications (BSBA‑BSAA),2002-10-20,Filipino,Single,Female,Marikina,Paid,0,False,15,,4.0,Yes
24-9720,Human Resource Management (BSBA‑HRM),2003-10-01,Filipino,Single,Female,Mandaluyong,Paid,0,True,15,,3.5,Yes
24-9553,Business Solutions & Applications (BSBA‑BSAA),2004-07-09,Filipino,Single,Female,Cainta,With Balance,31954,False,24,,3.5,Yes
24-9032,Business Solutions & Applications (BSBA‑BSAA),2005-09-05,Filipino,Single,Male,Mandaluyong,Paid,0,False,24,,3.0,Yes
24-3255,Business Solutions & Applications (BSBA‑BSAA),2007-02-15,Filipino,Single,Female,Marikina,With Balance,35883,False,21,,4.0,Yes
24-9132,Cybersecurity (BSCSEC),2006-09-04,Filipino,Single,Male,Caloocan,Paid,0,False,24,,4.0,Yes
24-2342,Human Resource Management (BSBA‑HRM),2007-09-03,Filipino,Single,Male,Manila,Paid,0,False,18,,3.5,Yes
24-1769,Human Resource Management (BSBA‑HRM),2006-07-19,Filipino,Single,Female,Makati,Paid,0,False,15,,3.5,Yes
24-1194,Cybersecurity (BSCSEC),2003-03-22,Filipino,Single,Male,Taguig,With Balance,12615,False,15,,2.0,No
24-3058,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2004-03-21,Filipino,Single,Male,Valenzuela,Paid,0,True,15,,3.5,Yes
24-9765,Cybersecurity (BSCSEC),2001-01-10,Filipino,Single,Female,Caloocan,Paid,0,False,15,,2.0,No
24-9698,Human Resource Management (BSBA‑HRM),2006-03-15,Filipino,Single,Female,Rodriguez,Paid,0,False,15,,3.0,Yes
24-9921,Business Solutions & Applications (BSBA‑BSAA),2006-02-12,Filipino,Single,Male,Makati,With Balance,36883,False,24,,3.5,Yes
24-4046,Human Resource Management (BSBA‑HRM),2001-02-13,Filipino,Single,Male,Imus,Paid,0,False,18,,4.0,Yes
24-1461,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2006-11-13,Filipino,Single,Male,Las Piñas,Paid,0,False,21,,2.0,No
24-7753,Business Intelligence & Analytics (BSBA‑BIA),2007-06-21,Filipino,Single,Female,Valenzuela,Paid,0,False,21,,4.0,Yes
24-9959,Business Intelligence & Analytics (BSBA‑BIA),2003-01-09,Filipino,Single,Female,Pasig,Paid,0,False,15,,3.5,Yes
24-5433,Human Resource Management (BSBA‑HRM),2003-10-11,Filipino,Single,Female,Rodriguez,Paid,0,False,24,,3.0,Yes
24-1058,Human Resource Management (BSBA‑HRM),2004-10-17,Filipino,Single,Female,Parañaque,With Balance,37235,False,21,,2.0,No
24-3224,Cybersecurity (BSCSEC),2004-04-01,Filipino,Single,Male,Taguig,With Balance,36894,False,21,,3.0,Yes
24-4327,Business Solutions & Applications (BSBA‑BSAA),2001-09-16,Filipino,Single,Female,Antipolo,Paid,0,False,24,,3.5,Yes
24-1228,Cybersecurity (BSCSEC),2000-10-01,Filipino,Single,Female,Caloocan,Paid,0,False,24,,4.0,Yes
24-3092,Human Resource Management (BSBA‑HRM),2002-01-09,Filipino,Single,Male,Makati,With Balance,21668,False,24,,4.0,Yes
24-5579,Business Intelligence & Analytics (BSBA‑BIA),2007-12-19,Filipino,Single,Male,Mandaluyong,With Balance,17870,False,15,monitoring,3.0,No
24-6071,Business Intelligence & Analytics (BSBA‑BIA),2002-03-25,Filipino,Single,Male,Rodriguez,Paid,0,False,18,,1.0,No
24-7666,Business Solutions & Applications (BSBA‑BSAA),2001-08-27,Filipino,Single,Female,Manila,With Balance,31157,False,18,,4.0,Yes
24-9742,Cybersecurity (BSCSEC),2003-05-13,Filipino,Single,Female,Caloocan,Paid,0,True,15,monitoring,3.5,No
24-3782,Business Intelligence & Analytics (BSBA‑BIA),2000-01-20,Filipino,Single,Female,Valenzuela,Paid,0,False,21,,1.0,No
24-1510,Business Intelligence & Analytics (BSBA‑BIA),2005-01-02,Filipino,Single,Female,Rodriguez,Paid,0,False,24,,3.5,Yes
24-4104,Cybersecurity (BSCSEC),2007-03-06,Filipino,Single,Female,Rodriguez,Paid,0,True,24,,3.0,Yes
24-9120,Business Intelligence & Analytics (BSBA‑BIA),2004-06-28,Filipino,Single,Female,Taguig,Paid,0,False,18,,1.0,No
24-2120,Human Resource Management (BSBA‑HRM),1992-05-08,Filipino,Married,Male,San Juan,Paid,0,False,18,,4.0,Yes
24-7509,Business Intelligence & Analytics (BSBA‑BIA),2003-10-09,Filipino,Single,Male,Rodriguez,With Balance,24617,False,24,,3.5,Yes
24-1370,Business Solutions & Applications (BSBA‑BSAA),2005-06-04,Filipino,Single,Female,Makati,Paid,0,False,21,,4.0,Yes
24-3194,Business Solutions & Applications (BSBA‑BSAA),2005-10-18,Filipino,Single,Male,Taguig,Paid,0,False,21,,3.0,Yes
24-2489,Business Intelligence & Analytics (BSBA‑BIA),2006-12-10,Filipino,Single,Female,Marikina,Paid,0,False,24,monitoring,3.5,No
24-1963,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2004-05-15,Filipino,Single,Male,Navotas,Paid,0,False,15,,4.0,Yes
24-1532,Human Resource Management (BSBA‑HRM),2002-02-14,Filipino,Single,Male,Pasay,With Balance,14189,False,18,,1.0,No
24-5564,Human Resource Management (BSBA‑HRM),2004-08-02,Filipino,Single,Female,Muntinlupa,Paid,0,False,15,,1.0,No
24-4265,Cybersecurity (BSCSEC),2002-01-12,Filipino,Single,Male,Caloocan,Paid,0,True,15,restrictions,3.5,No
24-5779,Cybersecurity (BSCSEC),2007-04-19,Filipino,Single,Male,Taguig,Paid,0,False,15,advising,3.5,No
24-3494,Cybersecurity (BSCSEC),2007-04-15,Filipino,Single,Female,Cainta,Paid,0,True,15,,3.0,Yes
24-5918,Human Resource Management (BSBA‑HRM),2001-09-14,Filipino,Single,Male,Quezon City,Paid,0,True,21,,4.0,Yes
24-2945,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2003-08-03,Filipino,Single,Male,Muntinlupa,Paid,0,True,21,,3.5,Yes
24-6063,Business Intelligence & Analytics (BSBA‑BIA),2004-11-01,Filipino,Single,Male,Marikina,Paid,0,False,21,,3.0,Yes
24-5102,Business Solutions & Applications (BSBA‑BSAA),2004-07-14,Filipino,Single,Male,Quezon City,Paid,0,False,15,,3.0,Yes
24-9832,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2002-03-21,Filipino,Single,Female,Manila,With Balance,14611,False,15,,3.0,Yes
24-2147,Human Resource Management (BSBA‑HRM),2002-08-08,Filipino,Single,Male,Valenzuela,With Balance,17283,False,21,,4.0,Yes
24-5827,Business Intelligence & Analytics (BSBA‑BIA),2002-09-23,Filipino,Single,Female,Makati,With Balance,20727,False,21,,3.5,Yes
24-7513,Business Intelligence & Analytics (BSBA‑BIA),2007-10-06,Filipino,Single,Female,Manila,Paid,0,True,18,,3.0,Yes
24-8508,Business Intelligence & Analytics (BSBA‑BIA),2002-04-05,Filipino,Married,Female,Makati,Paid,0,False,21,,3.0,Yes
24-1188,Human Resource Management (BSBA‑HRM),2005-04-27,Filipino,Single,Female,Las Piñas,Paid,0,False,21,,2.0,No
24-8205,Human Resource Management (BSBA‑HRM),2004-07-27,Korean,Single,Male,Muntinlupa,Paid,0,False,18,,3.5,Yes
24-3439,Business Solutions & Applications (BSBA‑BSAA),2006-02-16,American,Single,Male,Muntinlupa,With Balance,14135,False,24,,4.0,Yes
24-8422,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2006-12-26,Filipino,Single,Female,Pasig,Paid,0,False,15,,3.0,Yes
24-8240,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2007-09-28,Filipino,Single,Female,Malabon,Paid,0,False,18,,3.0,Yes
24-6924,Business Intelligence & Analytics (BSBA‑BIA),2001-09-10,Filipino,Single,Female,Pasig,Paid,0,False,21,,3.5,Yes
24-6033,Cybersecurity (BSCSEC),2006-09-05,Filipino,Single,Female,Bacoor,Paid,0,False,21,,3.5,Yes
24-3819,Business Intelligence & Analytics (BSBA‑BIA),2004-05-21,Filipino,Single,Male,Imus,Paid,0,False,18,,4.0,Yes
24-3404,Human Resource Management (BSBA‑HRM),1995-07-08,Filipino,Single,Female,Antipolo,Paid,0,False,18,,3.0,Yes
24-5542,Human Resource Management (BSBA‑HRM),2000-07-13,Filipino,Single,Female,Taguig,With Balance,15955,False,15,,2.0,No
24-6095,Business Intelligence & Analytics (BSBA‑BIA),2001-12-06,Filipino,Single,Female,Quezon City,With Balance,27297,False,24,advising,3.5,No
24-2646,Cybersecurity (BSCSEC),2006-01-02,Filipino,Single,Male,Taguig,Paid,0,False,15,monitoring,4.0,No
24-1216,Business Solutions & Applications (BSBA‑BSAA),2007-02-08,Filipino,Single,Male,Rodriguez,With Balance,28178,False,24,restrictions,4.0,No
24-7356,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2005-11-23,Filipino,Single,Male,Antipolo,Paid,0,False,21,,3.0,Yes
24-9583,Business Solutions & Applications (BSBA‑BSAA),2000-11-04,Filipino,Single,Female,San Juan,Paid,0,False,15,advising,3.0,No
24-8268,Human Resource Management (BSBA‑HRM),1991-08-20,Filipino,Single,Female,Taguig,Paid,0,False,15,,3.0,Yes
24-8700,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2002-03-07,Filipino,Single,Female,Marikina,With Balance,27546,False,18,,2.0,No
24-1660,Human Resource Management (BSBA‑HRM),2006-09-28,Filipino,Single,Male,Las Piñas,Paid,0,False,21,,3.5,Yes
24-9200,Business Intelligence & Analytics (BSBA‑BIA),2002-11-09,Filipino,Single,Male,Caloocan,With Balance,15317,False,15,,4.0,Yes
24-7298,Information Systems (BS‑IS),2006-09-12,Filipino,Single,Female,Manila,Paid,0,False,21,restrictions,3.0,No
24-5028,Human Resource Management (BSBA‑HRM),2005-12-24,Filipino,Single,Male,Muntinlupa,Paid,0,True,15,,2.0,Yes
24-3378,Human Resource Management (BSBA‑HRM),2000-08-01,Filipino,Single,Female,Mandaluyong,Paid,0,False,15,,2.0,No
24-3243,Business Solutions & Applications (BSBA‑BSAA),2004-09-03,Filipino,Single,Male,Valenzuela,With Balance,36674,False,15,,4.0,Yes
24-3414,Business Intelligence & Analytics (BSBA‑BIA),2001-07-16,Filipino,Single,Female,Las Piñas,With Balance,17572,False,21,,3.0,Yes
24-2531,Business Intelligence & Analytics (BSBA‑BIA),2000-02-25,Filipino,Single,Female,Pasig,With Balance,29176,False,24,,4.0,Yes
24-8740,Business Solutions & Applications (BSBA‑BSAA),2005-06-24,Filipino,Single,Male,San Mateo,With Balance,39740,False,24,,4.0,Yes
24-4837,Human Resource Management (BSBA‑HRM),2007-09-04,Filipino,Single,Female,Bacoor,Paid,0,True,24,,3.0,Yes
24-1309,Business Intelligence & Analytics (BSBA‑BIA),2004-07-25,Filipino,Married,Female,Valenzuela,Paid,0,False,15,,3.5,Yes
24-8547,Business Solutions & Applications (BSBA‑BSAA),2007-02-12,Filipino,Single,Female,San Mateo,With Balance,25766,False,15,,3.5,Yes
24-6028,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2000-03-15,Filipino,Single,Female,Antipolo,With Balance,32010,False,18,,4.0,Yes
24-3830,Business Solutions & Applications (BSBA‑BSAA),2006-11-17,Filipino,Single,Female,Mandaluyong,With Balance,11497,False,24,,3.5,Yes
24-1168,Human Resource Management (BSBA‑HRM),2006-11-07,Filipino,Single,Male,Muntinlupa,Paid,0,False,24,,3.0,Yes
24-6867,Information Systems (BS‑IS),2003-09-14,Filipino,Single,Male,Valenzuela,Paid,0,False,21,,2.0,No
24-4829,Business Intelligence & Analytics (BSBA‑BIA),2005-06-25,Filipino,Single,Male,Imus,With Balance,35296,False,18,,3.0,Yes
24-2373,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2005-10-28,Filipino,Single,Male,Muntinlupa,Paid,0,False,21,,4.0,Yes
24-8760,Human Resource Management (BSBA‑HRM),2007-08-23,Filipino,Single,Female,Makati,With Balance,17904,False,21,advising,3.5,No
24-7593,Cybersecurity (BSCSEC),2002-08-24,Filipino,Single,Male,Mandaluyong,Paid,0,False,15,advising,2.0,No
24-9029,Human Resource Management (BSBA‑HRM),2001-08-04,Filipino,Single,Female,Mandaluyong,Paid,0,False,15,,2.0,No
24-7621,Human Resource Management (BSBA‑HRM),2003-01-12,Filipino,Single,Female,Rodriguez,Paid,0,True,18,,2.0,Yes
24-7770,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2000-02-09,Filipino,Single,Female,Makati,Paid,0,True,15,,3.5,Yes
24-1316,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2001-07-07,Filipino,Single,Female,Imus,Paid,0,True,15,,4.0,Yes
24-8517,Business Intelligence & Analytics (BSBA‑BIA),2004-07-19,Filipino,Single,Female,Mandaluyong,With Balance,24196,False,18,,4.0,Yes
24-4642,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2000-12-13,Filipino,Single,Male,Mandaluyong,Paid,0,False,21,restrictions,4.0,No
24-4684,Business Intelligence & Analytics (BSBA‑BIA),2002-08-06,Filipino,Single,Male,Pasay,Paid,0,False,21,,3.0,Yes
24-8032,Business Intelligence & Analytics (BSBA‑BIA),2006-12-14,Filipino,Single,Male,Navotas,Paid,0,False,21,,4.0,Yes
24-9015,Business Solutions & Applications (BSBA‑BSAA),2005-01-15,Filipino,Single,Female,Las Piñas,Paid,0,False,24,,3.0,Yes
24-1355,Business Intelligence & Analytics (BSBA‑BIA),2000-11-23,Filipino,Single,Male,Cainta,Paid,0,True,18,,2.0,Yes
24-5903,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2003-10-02,Filipino,Single,Male,Rodriguez,With Balance,21419,False,18,,4.0,Yes
24-3748,Business Solutions & Applications (BSBA‑BSAA),2001-01-05,Filipino,Single,Female,Parañaque,Paid,0,False,18,,3.5,Yes
24-1547,Business Solutions & Applications (BSBA‑BSAA),2006-10-17,Filipino,Single,Female,Caloocan,With Balance,18047,False,18,,3.5,Yes
24-5035,Human Resource Management (BSBA‑HRM),2002-10-14,Filipino,Single,Male,Parañaque,With Balance,31138,False,18,monitoring,3.0,No
24-2482,Business Intelligence & Analytics (BSBA‑BIA),2000-08-25,Filipino,Single,Female,Cainta,Paid,0,False,15,advising,1.0,No
24-7577,Business Intelligence & Analytics (BSBA‑BIA),2007-08-10,Filipino,Single,Male,Manila,Paid,0,False,21,,3.0,Yes
24-8342,Business Solutions & Applications (BSBA‑BSAA),2001-10-05,Filipino,Single,Male,Taguig,Paid,0,False,24,monitoring,2.0,No
24-5490,Human Resource Management (BSBA‑HRM),2002-11-28,Filipino,Single,Female,Pasay,With Balance,32977,False,15,,3.5,Yes
24-8349,Cybersecurity (BSCSEC),2003-01-01,Filipino,Single,Female,Muntinlupa,Paid,0,False,18,,4.0,Yes
24-4772,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2005-01-11,Filipino,Single,Male,Taguig,Paid,0,False,18,,4.0,Yes
24-8235,Human Resource Management (BSBA‑HRM),2007-11-05,Filipino,Single,Male,Parañaque,Paid,0,False,18,,4.0,Yes
24-9933,Business Solutions & Applications (BSBA‑BSAA),2004-11-26,Filipino,Single,Male,Rodriguez,With Balance,10243,False,21,,3.5,Yes
24-1679,Human Resource Management (BSBA‑HRM),2006-10-07,Korean,Single,Male,Rodriguez,Paid,0,False,21,restrictions,2.0,No
24-3718,Business Solutions & Applications (BSBA‑BSAA),2004-07-09,Filipino,Single,Female,Antipolo,With Balance,27743,False,18,,3.5,Yes
24-8163,Cybersecurity (BSCSEC),2007-03-13,Filipino,Single,Female,Pasay,Paid,0,False,18,,2.0,No
24-6224,Cybersecurity (BSCSEC),2001-10-13,Filipino,Single,Male,Parañaque,Paid,0,True,15,,3.5,Yes
23-7647,Business Intelligence & Analytics (BSBA‑BIA),2004-08-06,Filipino,Single,Female,Mandaluyong,Paid,0,False,18,,4.0,Yes
23-5481,Business Intelligence & Analytics (BSBA‑BIA),2002-10-01,Filipino,Single,Female,Pasay,Paid,0,False,15,monitoring,4.0,No
23-6614,Cybersecurity (BSCSEC),2000-10-12,Filipino,Single,Female,Las Piñas,Paid,0,False,18,,4.0,Yes
23-2382,Human Resource Management (BSBA‑HRM),2003-06-25,Filipino,Single,Male,Mandaluyong,Paid,0,False,15,,4.0,Yes
23-1094,Information Systems (BS‑IS),2006-01-17,Filipino,Single,Male,Muntinlupa,Paid,0,False,24,,4.0,Yes
23-8142,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2006-05-07,Filipino,Single,Female,Manila,Paid,0,True,21,,4.0,Yes
23-5446,Human Resource Management (BSBA‑HRM),2007-07-22,Filipino,Single,Male,Caloocan,With Balance,35772,False,24,restrictions,2.0,No
23-5243,Business Solutions & Applications (BSBA‑BSAA),2001-07-10,Filipino,Single,Male,Pasay,With Balance,19427,False,15,,4.0,Yes
23-3927,Human Resource Management (BSBA‑HRM),2006-09-12,Filipino,Single,Male,Valenzuela,Paid,0,False,21,,4.0,Yes
23-1737,Cybersecurity (BSCSEC),2006-02-16,Filipino,Single,Female,Manila,With Balance,26200,False,18,,3.0,Yes
23-1674,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2004-09-08,Filipino,Single,Female,Makati,Paid,0,False,21,,3.0,Yes
23-4217,Human Resource Management (BSBA‑HRM),2006-10-09,Filipino,Single,Male,Mandaluyong,Paid,0,False,21,,3.5,Yes
23-3241,Human Resource Management (BSBA‑HRM),2000-05-23,Filipino,Single,Female,Marikina,Paid,0,True,15,,4.0,Yes
23-6552,Business Solutions & Applications (BSBA‑BSAA),2005-11-11,Filipino,Single,Male,Makati,Paid,0,False,21,,3.0,Yes
23-1532,Human Resource Management (BSBA‑HRM),2003-08-18,Filipino,Single,Male,Las Piñas,Paid,0,False,24,,3.5,Yes
23-8464,Human Resource Management (BSBA‑HRM),2004-05-07,Filipino,Single,Female,Makati,Paid,0,False,21,,3.5,Yes
23-7784,Cybersecurity (BSCSEC),2002-11-13,Filipino,Single,Male,Parañaque,With Balance,12855,False,21,,3.0,Yes
23-1549,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2002-08-16,Filipino,Single,Male,Manila,Paid,0,False,15,,3.0,Yes
23-7308,Business Intelligence & Analytics (BSBA‑BIA),2003-06-14,Filipino,Single,Female,Quezon City,Paid,0,False,21,,3.0,Yes
23-5024,Business Solutions & Applications (BSBA‑BSAA),2006-08-21,Filipino,Single,Female,Malabon,With Balance,13940,False,18,,4.0,Yes
23-7722,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2007-10-21,Filipino,Single,Male,Antipolo,Paid,0,False,24,,3.0,Yes
23-6398,Information Systems (BS‑IS),2000-07-16,Filipino,Single,Male,Las Piñas,Paid,0,False,24,,4.0,Yes
23-6159,Cybersecurity (BSCSEC),2005-01-28,Filipino,Single,Male,Pasig,Paid,0,False,15,,2.0,No
23-7923,Cybersecurity (BSCSEC),2001-09-28,Filipino,Single,Male,Valenzuela,Paid,0,False,15,,3.5,Yes
23-3668,Human Resource Management (BSBA‑HRM),2000-08-07,Filipino,Single,Male,Antipolo,Paid,0,False,18,,3.0,Yes
23-7859,Cybersecurity (BSCSEC),2003-04-15,Filipino,Single,Male,San Mateo,With Balance,30012,False,21,,3.0,Yes
23-3584,Business Intelligence & Analytics (BSBA‑BIA),2003-02-22,Filipino,Single,Female,Imus,Paid,0,False,15,monitoring,3.0,No
23-7857,Human Resource Management (BSBA‑HRM),2006-10-06,Filipino,Single,Female,Caloocan,Paid,0,True,21,,3.0,Yes
23-5449,Business Solutions & Applications (BSBA‑BSAA),2004-11-26,Filipino,Single,Male,Imus,Paid,0,False,15,,3.0,Yes
23-1091,Human Resource Management (BSBA‑HRM),2006-11-09,Filipino,Single,Female,Bacoor,With Balance,34858,False,15,restrictions,2.0,No
23-3325,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2001-06-01,Filipino,Single,Male,Taguig,With Balance,15114,False,24,,4.0,Yes
23-1785,Business Solutions & Applications (BSBA‑BSAA),2000-09-21,Filipino,Single,Male,Navotas,Paid,0,False,18,,3.5,Yes
23-3848,Information Systems (BS‑IS),2004-05-27,Filipino,Single,Male,Imus,Paid,0,False,21,,4.0,Yes
23-8650,Information Systems (BS‑IS),2001-02-14,Filipino,Single,Male,Cainta,Paid,0,False,15,,3.5,Yes
23-7421,Business Intelligence & Analytics (BSBA‑BIA),2000-09-05,Filipino,Single,Male,Navotas,Paid,0,True,18,,3.5,Yes
23-5334,Business Solutions & Applications (BSBA‑BSAA),2003-06-26,Filipino,Single,Male,Bacoor,With Balance,32297,False,24,,4.0,Yes
23-1179,Cybersecurity (BSCSEC),2004-11-22,Filipino,Single,Female,Caloocan,Paid,0,False,15,,4.0,Yes
23-4650,Human Resource Management (BSBA‑HRM),2003-01-06,Filipino,Single,Female,Pasay,With Balance,11926,False,18,,3.0,Yes
23-8354,Business Intelligence & Analytics (BSBA‑BIA),2004-04-13,Filipino,Single,Female,Quezon City,Paid,0,False,24,,3.0,Yes
23-9729,Cybersecurity (BSCSEC),2005-05-22,Filipino,Single,Female,Marikina,With Balance,27917,False,18,restrictions,3.0,No
23-9165,Business Solutions & Applications (BSBA‑BSAA),2005-05-23,Filipino,Single,Male,Pasig,Paid,0,False,24,,3.0,Yes
